Disease ID,Disease Name,Size of largest pathway component,Density of pathway,Network Modularity,Distance of Pathway Components,Spatial Network Association
C0273115,Lung Injury,0.15,0.105263158,-0.009347264,2.629365079,0.4022725
C1136249,"Mental Retardation, X-Linked",0.045454545,0.012987013,-0.001629763,2.947712418,0.2883411
C0038454,Cerebrovascular accident,0.342105263,0.058321479,-0.006394008,2.835005574,0.02355988
C0019284,Diaphragmatic Hernia,0.097560976,0.034146341,-0.006372157,2.778409091,0.04619277
C0282612,Prostatic Intraepithelial Neoplasias,0.545454545,0.290909091,-0.006040287,2.083333333,0.1548257
C0751617,Semilobar Holoprosencephaly,0.214285714,0.076923077,-0.000928176,3.246296296,0.6780799
C0035258,Restless Legs Syndrome,0.071428571,0.032967033,-0.00059391,2.866666667,0.9998934
C1142166,Brugada Syndrome (disorder),0.133333333,0.066666667,-0.000827545,3.06043956,0.9497166
C0013990,Pathological accumulation of air in tissues,0.181818182,0.109090909,-0.004580338,2.5,0.1686034
C0018671,Head and Neck Neoplasms,0.434782609,0.110671937,-0.008137621,2.990384615,0.2233592
C0006118,Brain Neoplasms,0.347826087,0.114624506,-0.007070366,2.808333333,0.5094909
C0018772,"Hearing Loss, Partial",0.037037037,0.01994302,-0.001345431,3.255411255,0.6241253
C0008625,Chromosome Aberrations,0.133333333,0.104761905,-0.002670817,2.653846154,0.1799026
C0023434,Chronic Lymphocytic Leukemia,0.258064516,0.022739291,-0.012612646,3.128951149,0.9991659
C0034951,Refractive Errors,0.052631579,0.035087719,-0.001244768,3.104575163,0.4487297
C0019196,Hepatitis C,0.066666667,0.085714286,-0.001777917,3.00952381,0.7969959
C0025500,Mesothelioma,0.487804878,0.054878049,-0.013179125,2.859642857,0.7748362
C0242379,Malignant neoplasm of lung,0.1875,0.1,-0.003155085,2.97979798,0.04985357
C3875321,Inflammatory dermatosis,0.05,0.015384615,-0.004866498,2.834280303,0.234868
C0162809,Kallmann Syndrome,0.2,0.047368421,-0.000860115,3.509191176,0.4114142
C0023794,Lipoidosis,0.157894737,0.046783626,-0.001825433,2.963888889,0.3826886
C0011849,Diabetes Mellitus,0.137931034,0.0591133,-0.00757586,2.745039683,0.2189992
C0016059,Fibrosis,0.243902439,0.064634146,-0.008130666,3.14781746,0.5772263
C0020443,Hypercholesterolemia,0.181818182,0.064935065,-0.003273913,2.823529412,0.2715934
C0025958,Microcephaly,0.16,0.053333333,-0.005630979,2.395833333,0.2080175
C0040411,Tongue Neoplasms,0.2,0.177777778,-0.002872688,2.607142857,0.2747377
C0027720,Nephrosis,0.266666667,0.180952381,-0.003958392,2.827380952,0.1670126
C0007273,Carotid Artery Diseases,0.181818182,0.181818182,-0.004100783,2.566666667,0.8600161
C0018273,Growth Disorders,0.121212121,0.028409091,-0.004169411,2.908251232,0.1139482
C0014553,Absence Epilepsy,0.1,0.044444444,-0.000709228,2.972222222,0.3774354
C0014556,"Epilepsy, Temporal Lobe",0.086956522,0.051383399,-0.00150244,2.870238095,0.1207348
C0025261,Memory Disorders,0.351351351,0.04954955,-0.012496276,3.130713489,0.5218768
C0007370,Catalepsy,0.133333333,0.047619048,-0.001810549,2.813186813,0.06925744
C1333990,Hereditary Nonpolyposis Colorectal Cancer,0.461538462,0.256410256,-0.003268559,2.533333333,0.09249766
C0023487,Acute Promyelocytic Leukemia,0.516129032,0.08172043,-0.00790156,2.954727564,0.9442921
C0023485,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,0.272727273,0.145454545,-0.00297076,2.37037037,0.2452725
C0018099,Gout,0.1,0.111111111,-0.000697399,3.2,0.49176
C1956346,Coronary Artery Disease,0.149253731,0.020805066,-0.010026455,3.043664966,0.4891566
C1861172,Venous Thromboembolism,0.277777778,0.033333333,-0.002573273,3.187878788,0.8712744
C0032927,Precancerous Conditions,0.285714286,0.017094017,-0.013722578,2.960060976,1
C0010346,Crohn Disease,0.133333333,0.010805861,-0.013131801,3.259141296,0.9629743
C0007873,Uterine Cervical Neoplasm,0.545454545,0.095238095,-0.008317735,2.992592593,0.1670536
C0013386,"Dyskinesia, Drug-Induced",0.133333333,0.066666667,-0.001150066,2.835164835,0.3251922
C0022336,Creutzfeldt-Jakob disease,0.071428571,0.043956044,-0.00111157,3.397435897,0.6806454
C0087012,"Ataxia, Spinocerebellar",0.375,0.066666667,-0.004086188,2.47037037,0.1209677
C0917796,"Optic Atrophy, Hereditary, Leber",0.5625,0.15,-0.001333935,3.17037037,0.5753429
C0023891,"Liver Cirrhosis, Alcoholic",0.25,0.141666667,-0.004476446,3.022222222,0.08842567
C0242488,Acute Lung Injury,0.125,0.108333333,-0.003562196,2.519047619,0.2125177
C0023893,"Liver Cirrhosis, Experimental",0.339449541,0.019367992,-0.014911427,3.284175056,0.1910448
C0263454,Chloracne,0.333333333,0.051136364,-0.008083599,2.907900433,0.9569316
C0023895,Liver diseases,0.104477612,0.021709634,-0.009746718,3.129865333,0.2160088
C0022661,"Kidney Failure, Chronic",0.422222222,0.048484848,-0.007700714,3.013793542,0.270738
C1262477,Weight decreased,0.055555556,0.052287582,-0.001834227,2.830065359,0.5115531
C0023264,Leigh Disease,0.485714286,0.115966387,-0.003673711,2.970868347,0.5374243
C0007570,Celiac Disease,0.054545455,0.01010101,-0.002941213,3.106691919,0.9999992
C0017601,Glaucoma,0.090909091,0.034632035,-0.001647569,3.123684211,0.07237333
C0039231,Tachycardia,0.117647059,0.066176471,-0.001434293,2.8125,0.2547458
C0346153,"Breast Cancer, Familial",0.642857143,0.340659341,-0.008315925,2.12962963,0.872176
C0022116,Ischemia,0.444444444,0.082621083,-0.008197652,2.96875,0.6621883
C0032580,Adenomatous Polyposis Coli,0.2,0.111111111,-0.003475956,2.696428571,0.1673182
C0040128,Thyroid Diseases,0.083333333,0.106060606,-0.001061259,2.781818182,0.9904128
C0030319,Panic Disorder,0.076923077,0.051282051,-0.00059391,2.857142857,0.9990669
C0009404,Colorectal Neoplasms,0.530172414,0.01235259,-0.036412927,3.393360687,0.9230971
C0001624,Adrenal Gland Neoplasms,0.636363636,0.345454545,-0.008062161,2.476190476,0.06382141
C0038644,Sudden infant death syndrome,0.230769231,0.08974359,-0.000738827,3.459259259,0.7600071
C0027819,Neuroblastoma,0.244897959,0.047619048,-0.016297009,2.861951754,0.6554593
C2931456,"Prostate cancer, familial",0.307692308,0.141025641,-0.003470257,2.861111111,0.7389793
C0024667,Animal Mammary Neoplasms,0.782608696,0.038400508,-0.048485233,3.177722255,0.6735671
C0029422,Osteochondrodysplasias,0.2,0.104761905,-0.002380037,3.103535354,0.07918531
C0041755,Adverse reaction to drug,0.12962963,0.029350105,-0.006816327,3.049817675,0.1900087
C0015625,Fanconi Anemia,0.894736842,0.321637427,-0.00285132,2.607843137,0.07938921
C0751778,"Myoclonic Epilepsies, Progressive",0.166666667,0.106060606,-0.001493527,2.809090909,0.6465128
C0206762,"Limb Deformities, Congenital",0.125,0.05,-0.001742387,2.901098901,0.2030186
C0429087,Electrocardiogram: P-R interval,0.1,0.066666667,-0.001025749,2.916666667,0.9937118
C0024668,"Mammary Neoplasms, Experimental",0.782894737,0.035813872,-0.050969075,3.095909398,0.7985807
C0018824,Heart valve disease,0.125,0.057971014,-0.003865845,2.680701754,0.4807216
C0079744,Diffuse Large B-Cell Lymphoma,0.289473684,0.06970128,-0.009587676,2.500919118,0.2039784
C0019158,Hepatitis,0.1,0.094736842,-0.003253106,2.785714286,0.9417809
C0271650,Impaired glucose tolerance,0.307692308,0.141025641,-0.002635286,2.633928571,0.9927038
C0162666,Mitochondrial Encephalomyopathies,0.2,0.057142857,-0.001532116,2.666666667,0.9991589
C0019151,Hepatic Encephalopathy,0.153846154,0.141025641,-0.002362192,2.55,0.1216489
C0026769,Multiple Sclerosis,0.155963303,0.009683996,-0.011001965,3.181332642,0.9988396
C0600467,Neurogenic Inflammation,0.25,0.121212121,-0.007689245,3.356481481,0.7535867
C0024141,"Lupus Erythematosus, Systemic",0.056818182,0.010710554,-0.006923621,3.046192491,0.9973639
C2931673,"Ceroid lipofuscinosis, neuronal 1, infantile",0.3,0.155555556,-0.002748013,2.547619048,0.06401815
C0152013,Adenocarcinoma of lung (disorder),0.458333333,0.052304965,-0.015390773,2.691467305,0.04261716
C0175702,Williams Syndrome,0.1,0.066666667,-0.002053598,2.533333333,0.4078628
C0268362,Osteogenesis imperfecta type III (disorder),0.272727273,0.127272727,-0.00170692,2.544973545,0.1878662
C0268363,Osteogenesis imperfecta type IV (disorder),0.3,0.111111111,-0.000836449,2.761904762,0.3074043
C0241910,"Hepatitis, Autoimmune",0.176470588,0.102941176,-0.001013949,3.098412698,0.1133563
C0033578,Prostatic Neoplasms,0.754639175,0.012797137,-0.089568965,3.423896013,0.1381085
C2936907,NADH:Q(1) Oxidoreductase deficiency,0.85,0.5,-0.002592673,2.833333333,0.000513974
C0848558,Hypospadias,0.052631579,0.01754386,-0.001037586,2.945054945,0.2611838
C0026764,Multiple Myeloma,0.256410256,0.045883941,-0.006938469,2.966666667,0.300714
C0015695,Fatty Liver,0.079365079,0.022017409,-0.009635497,2.76652509,0.9999995
C0023290,"Leishmaniasis, Visceral",0.142857143,0.142857143,-0.001016908,2.738888889,0.8382062
C0393706,Early infantile epileptic encephalopathy with suppression bursts,0.111111111,0.052287582,-0.002626239,2.852941176,0.7828204
C0022521,Kartagener Syndrome,0.071428571,0.002645503,-0.000750644,3.420948617,0.1721223
C0005586,Bipolar Disorder,0.069444444,0.013302034,-0.012453464,3.15137415,0.5469805
C0242350,Erectile dysfunction,0.2,0.2,-0.001422472,2.660714286,0.09568874
C0265215,Meckel-Gruber syndrome,0.466666667,0.152380952,-0.003771442,2.246428571,0.0982592
C0005612,Birth Weight,0.1,0.066666667,-0.000434283,3.177777778,0.2720252
C0004352,Autistic Disorder,0.271653543,0.007625035,-0.032477948,3.108473073,0.5491141
C0023904,"Liver Neoplasms, Experimental",0.221052632,0.012318029,-0.013576197,3.08240314,1
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,0.611111111,0.14379085,-0.006127409,2.529220779,0.3482705
C0027404,Narcolepsy,0.08,0.013333333,-0.000567322,3.445833333,0.9937848
C0015967,Fever,0.142857143,0.071428571,-0.002172294,3.050108932,0.2966641
C0001418,Adenocarcinoma,0.675925926,0.042748356,-0.035065398,3.135805832,0.3866977
C0887833,"Carcinoma, Pancreatic Ductal",0.25,0.1,-0.004187727,2.539194139,0.01819385
C0740392,"Infarction, Middle Cerebral Artery",0.28,0.09,-0.005284762,2.633986928,0.5856192
C0020538,Hypertensive disease,0.671794872,0.016759186,-0.036608542,3.271269757,0.09858611
C0349639,Juvenile Myelomonocytic Leukemia,0.157894737,0.076023392,-0.004288533,2.427777778,0.02269599
C0023343,Leprosy,0.115384615,0.033846154,-0.002439342,3.149206349,0.901436
C0027051,Myocardial Infarction,0.5,0.03030303,-0.017976973,3.05392316,0.4570144
C0042109,Urticaria,0.0625,0.083333333,-0.003651361,2.733333333,0.7784392
C0003811,Cardiac Arrhythmia,0.15,0.063157895,-0.001662413,2.88671024,0.3311176
C0018995,Hemochromatosis,0.25,0.106060606,-0.00070928,3.211309524,0.2444961
C0030297,Pancreatic Neoplasm,0.6125,0.047468354,-0.020934978,3.247474113,0.1714108
C0020507,Hyperplasia,0.230769231,0.070769231,-0.007456095,2.80265069,0.6680611
C0030354,Papilloma,0.181818182,0.218181818,-0.005836568,2.458333333,0.1506721
C0030193,Pain,0.041666667,0.021276596,-0.005311244,3.14695122,0.9614323
C0000768,Congenital Abnormality,0.181818182,0.090909091,-0.001935041,2.744444444,0.06298696
C1834752,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO (finding)",0.166666667,0.136363636,-0.000658982,3.071428571,0.989772
C0022658,Kidney Diseases,0.155555556,0.016978777,-0.010982414,3.21037995,0.4310536
C0206062,"Lung Diseases, Interstitial",0.0625,0.058333333,-0.002498563,2.838095238,0.1065499
C0007117,Basal cell carcinoma,0.103448276,0.019704433,-0.005138085,2.961988304,0.9999991
C2239176,Liver carcinoma,0.797297297,0.028005381,-0.059161551,3.158522806,0.2422954
C0206726,gliosarcoma,0.25,0.108333333,-0.008391312,2.560606061,0.07511029
C0948089,Acute Coronary Syndrome,0.64516129,0.122580645,-0.012265289,2.540740741,0.5158776
C0029927,Ovarian Cysts,0.028571429,0.013445378,-0.004702449,3.030107527,0.4343938
C0036346,"Schizophrenia, Childhood",0.0625,0.025,-0.001929078,3.057142857,0.1813092
C0206686,Adrenocortical carcinoma,0.705882353,0.220588235,-0.010726201,2.577777778,0.03699379
C0036341,Schizophrenia,0.335714286,0.006451613,-0.044415064,3.247988136,0.802303
C0333641,Atrophic,0.2,0.155555556,-0.003056862,2.486111111,0.3478448
C1800706,Idiopathic Pulmonary Fibrosis,0.117647059,0.080882353,-0.001638769,3.045454545,0.3567102
C0431362,Lobar Holoprosencephaly,0.214285714,0.076923077,-0.000928176,3.246296296,0.7822778
C0431363,Alobar Holoprosencephaly,0.214285714,0.076923077,-0.000928176,3.246296296,0.7273776
C0021051,Immunologic Deficiency Syndromes,0.352941176,0.088235294,-0.001114651,2.92962963,0.04197357
C0004134,Ataxia,0.133333333,0.057142857,-0.000842365,3.246212121,0.5137395
C0279628,Adenocarcinoma Of Esophagus,0.5,0.131868132,-0.005604002,2.535714286,0.09351959
C0035334,Retinitis Pigmentosa,0.075949367,0.018500487,-0.009343092,3.223056361,0.03605474
C0279626,Squamous cell carcinoma of esophagus,0.647058824,0.039495798,-0.027887301,2.993217893,0.3652192
C0004364,Autoimmune Diseases,0.151515152,0.053030303,-0.006907786,2.821692308,0.07811806
C0011991,Diarrhea,0.2,0.066666667,-0.000546618,3.5,0.3569381
C0151744,Myocardial Ischemia,0.596491228,0.018163055,-0.038035937,3.005888377,0.1766956
C0085580,Essential Hypertension,0.238095238,0.033333333,-0.001606178,2.833333333,0.9999958
C0019209,Hepatomegaly,0.1,0.133333333,-0.001265491,2.861111111,0.1601439
C0026848,Myopathy,0.068965517,0.041871921,-0.003473168,2.983333333,0.6850469
C0019202,Hepatolenticular Degeneration,0.166666667,0.072463768,-0.004342379,2.783496732,0.3035366
C0015393,Eye Abnormalities,0.25,0.091666667,-0.002291028,3.016666667,0.5657964
C0026846,Muscular Atrophy,0.230769231,0.128205128,-0.004890525,2.527272727,0.1941384
C0004782,Basal Ganglia Diseases,0.166666667,0.060606061,-0.000815713,3.081818182,0.1010088
C0019163,Hepatitis B,0.1875,0.091666667,-0.001277425,3.305555556,0.6893563
C0024115,Lung diseases,0.081632653,0.027210884,-0.006884449,2.946226976,0.5050054
C0024117,Chronic Obstructive Airway Disease,0.098039216,0.020392157,-0.008779845,3.075809524,0.3805175
C0031117,Peripheral Neuropathy,0.42662116,0.007737622,-0.039569955,3.241671737,0.01369756
C0043094,Weight Gain,0.483146067,0.021705822,-0.022287469,3.092433256,0.004982822
C0011053,Deafness,0.111111111,0.032679739,-0.001760167,3.17032967,0.307242
C0403553,Renal dysplasia and retinal aplasia (disorder),0.5,0.266666667,-0.001760423,2.76,0.1800062
C1263846,Attention deficit hyperactivity disorder,0.046511628,0.008859358,-0.001511353,3.363407258,0.971595
C0039685,Tetralogy of Fallot,0.294117647,0.058823529,-0.001087992,3.073333333,0.630867
C0524851,Neurodegenerative Disorders,0.486486486,0.07957958,-0.013259588,2.993668301,0.4185248
C0004763,Barrett Esophagus,0.125,0.083333333,-0.002780676,2.787878788,0.1289284
C0376634,Craniofacial Abnormalities,0.55704698,0.017322692,-0.027730746,3.054829724,0.008666294
C0520459,Necrotizing Enterocolitis,0.294117647,0.139705882,-0.004277002,2.723611111,0.07004351
C0020473,Hyperlipidemia,0.411764706,0.147058824,-0.003321772,2.60218254,0.5574343
C3463824,MYELODYSPLASTIC SYNDROME,0.166666667,0.078431373,-0.005290354,2.644688645,0.6088715
C0003130,Anoxia,0.242424242,0.058712121,-0.008467726,2.708092105,0.1905636
C0149925,Small cell carcinoma of lung,0.452380952,0.056910569,-0.016001038,2.990430622,0.1407607
C0014544,Epilepsy,0.136363636,0.021445221,-0.010177827,3.072490781,0.9463472
C0162557,"Liver Failure, Acute",0.272727273,0.090909091,-0.003901767,2.841666667,0.3076385
C1449861,"Micronuclei, Chromosome-Defective",0.210526316,0.099415205,-0.003568591,2.833333333,0.6579035
C0009241,Cognition Disorders,0.130434783,0.04743083,-0.009563378,2.880952381,0.5519432
C0085110,Severe Combined Immunodeficiency,0.454545455,0.145454545,-0.001638798,2.686666667,0.1358917
C0018798,Congenital Heart Defects,0.131578947,0.028449502,-0.004738893,2.768774929,0.3785393
C0018799,Heart Diseases,0.093023256,0.029900332,-0.009182176,2.809126984,0.05791873
C0023493,Adult T-Cell Lymphoma/Leukemia,0.35483871,0.077419355,-0.010144498,3.062878788,0.221256
C0008312,Primary biliary cirrhosis,0.173913043,0.055335968,-0.002243643,2.971428571,0.3091179
C0004936,Mental disorders,0.272727273,0.109090909,-0.000993236,2.787037037,0.9905772
C0005283,beta Thalassemia,0.2,0.155555556,-0.001336572,2.833333333,0.4696856
C0024809,Marijuana Abuse,0.2,0.133333333,-0.004038266,2.527777778,0.180976
C0023976,Long QT Syndrome,0.625,0.15,-0.002332861,2.536666667,0.7143563
C0006413,Burkitt Lymphoma,0.4,0.123809524,-0.005395007,2.782407407,0.6804041
C1861063,"TOBACCO ADDICTION, SUSCEPTIBILITY TO (finding)",0.083333333,0.075757576,-0.00048453,3.244444444,0.2709127
C0018621,Hay fever,0.1,0.066666667,-0.001940936,2.933333333,0.1597977
C0021655,Insulin Resistance,0.530612245,0.068877551,-0.013428639,2.919230769,0.6330243
C0149721,Left Ventricular Hypertrophy,0.25,0.105072464,-0.007037293,2.648989899,0.171924
C0085129,Bronchial Hyperreactivity,0.076923077,0.08974359,-0.000883734,3.243589744,0.9443001
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1,0.265306122,0.033163265,-0.011045866,2.88337469,0.5763099
C0015934,Fetal Growth Retardation,0.2,0.155555556,-0.001674264,2.616071429,0.2213592
C0079541,Holoprosencephaly,0.3,0.088888889,-0.000531846,3.066666667,0.9946383
C0993582,"Arthritis, Experimental",0.2,0.042307692,-0.008560683,2.945812808,0.5615241
C0014549,Tonic-Clonic Epilepsy,0.2,0.155555556,-0.000573225,3.013888889,0.02268718
C0242656,Disease Progression,0.68503937,0.030496188,-0.040517326,2.933502468,0.01450844
C0017668,Focal glomerulosclerosis,0.545454545,0.138528139,-0.007829415,2.657407407,0.357384
C0334588,Giant Cell Glioblastoma,0.333333333,0.181818182,-0.008139178,2.527777778,0.1919875
C1959629,Seizure Adverse Event,0.052631579,0.01754386,-0.001691982,2.894736842,0.3645371
C0005910,Body Weight,0.142857143,0.043956044,-0.000590964,3.179487179,0.1367838
C0020179,Huntington Disease,0.166666667,0.121212121,-0.00154092,2.790909091,0.5282917
C0017636,Glioblastoma,0.540983607,0.049726776,-0.020318819,2.841919192,0.02855393
C0235833,Congenital diaphragmatic hernia,0.166666667,0.090909091,-0.001496516,2.791666667,0.659747
C0036421,Systemic Scleroderma,0.08,0.03,-0.002599523,3.047619048,0.4150235
C2609414,Acute kidney injury,0.358208955,0.033016735,-0.015640742,3.270113864,0.8683098
C1876165,Copper-Overload Cirrhosis,0.363636364,0.218181818,-0.004118793,2.276785714,0.6155235
C0000786,Spontaneous abortion,0.222222222,0.013845621,-0.010924815,3.331802163,0.6877081
C0017638,Glioma,0.540540541,0.038504258,-0.027488427,3.052,0.2111381
C0017639,Gliosis,0.375,0.15,-0.005523478,2.57037037,0.1631881
C0013080,Down Syndrome,0.212121212,0.011337868,-0.015451961,3.257293763,0.3000161
C0497327,Dementia,0.181818182,0.109090909,-0.007620021,2.861111111,0.3680776
C0030305,Pancreatitis,0.095238095,0.052380952,-0.002700458,3.002923977,0.6563381
C0002514,"Amino Acid Metabolism, Inborn Errors",0.076923077,0.064102564,-0.000901483,2.987179487,0.5092697
C0040136,Thyroid Neoplasm,0.333333333,0.075757576,-0.008131764,2.731259968,0.7192561
C0027626,Neoplasm Invasiveness,0.765151515,0.040365487,-0.038151408,3.01869637,0.540618
C0027627,Neoplasm Metastasis,0.632183908,0.025181051,-0.042599148,3.130859881,1
C0001925,Albuminuria,0.166666667,0.06884058,-0.00319092,2.929487179,0.9952435
C0032914,Pre-Eclampsia,0.090909091,0.034632035,-0.001345455,3.088235294,0.8595829
C0027746,Nerve Degeneration,0.581081081,0.047019622,-0.02124456,3.041335387,0.4592134
C0040038,Thromboembolism,0.5,0.272727273,-0.000951955,2.638888889,0.1402515
C0032460,Polycystic Ovary Syndrome,0.051282051,0.0063689,-0.01724798,3.078195235,0.05076819
C0007787,Transient Ischemic Attack,0.3,0.2,-0.002575868,2.373015873,0.8738844
C0007786,Brain Ischemia,0.733333333,0.084745763,-0.019683064,3.209753788,0.649858
C0007785,Cerebral Infarction,0.4,0.266666667,-0.001150128,2.821428571,0.2786215
C0546837,Malignant neoplasm of esophagus,0.157894737,0.070175439,-0.002736185,2.676190476,0.1554022
C0029408,Degenerative polyarthritis,0.587628866,0.032646048,-0.025248846,3.171029177,0.4449985
C0029401,Osteitis Deformans,0.3,0.133333333,-0.002112979,2.711111111,0.0421476
C0853897,Diabetic Cardiomyopathies,0.4,0.177777778,-0.001703926,2.797619048,0.4148718
C0392557,Nuclear cataract,0.416666667,0.181818182,-0.000434324,2.857142857,0.3688327
C0236736,Cocaine-Related Disorders,0.37037037,0.022845275,-0.016000364,3.212401597,1
C0162671,MELAS Syndrome,0.2,0.104761905,-0.00200934,2.244444444,0.998716
C0162670,Mitochondrial Myopathies,0.1,0.133333333,-0.001277333,2.533333333,0.9986704
C0236733,Amphetamine-Related Disorders,0.146666667,0.018018018,-0.011456737,3.254369466,0.3410551
C0009375,Colonic Neoplasms,0.68503937,0.032245969,-0.037552231,3.242277869,0.7516988
C0006111,Brain Diseases,0.181818182,0.069264069,-0.008550762,2.956801471,0.02809328
C0242339,Dyslipidemias,0.117647059,0.088235294,-0.001683184,2.814102564,0.1748704
C0005138,Berylliosis,0.090909091,0.090909091,-0.001176685,2.777777778,0.2796929
C0020437,Hypercalcemia,0.166666667,0.121212121,-0.000768403,2.892857143,0.444131
C0036202,Sarcoidosis,0.166666667,0.075757576,-0.001218147,2.714285714,0.9998027
C0023903,Liver neoplasms,0.401785714,0.020913771,-0.024218931,3.176077717,0.04599444
C0027055,Myocardial Reperfusion Injury,0.231707317,0.01897019,-0.008729211,2.686466165,1
C0920269,Microsatellite Instability,0.133333333,0.095238095,-0.003259051,2.333333333,0.8741281
C0339535,"Night blindness, congenital stationary",0.214285714,0.087912088,-0.000233356,3.529761905,0.09542395
C0038325,Stevens-Johnson Syndrome,0.733333333,0.15862069,-0.02122089,2.786616162,0.1098268
C0023452,"Leukemia, Lymphocytic, Acute, L1",0.083333333,0.106060606,-0.001425383,3.218181818,0.8914473
C1272641,Systemic arterial pressure,0.032258065,0.010047594,-0.004017499,2.865469858,0.4063271
C0023186,Learning Disorders,0.333333333,0.074074074,-0.010025742,3.254175744,0.2084445
C0265221,Walker-Warburg congenital muscular dystrophy,0.357142857,0.076923077,-0.000632405,2.942857143,0.1417174
C0024796,Marfan Syndrome,0.3,0.222222222,-0.002258354,2.380952381,0.8152621
C0009363,Congenital ocular coloboma (disorder),0.166666667,0.075757576,-0.003327301,2.827272727,0.2946796
C0024121,Lung Neoplasms,0.741573034,0.030978226,-0.048130459,3.39371379,0.3243305
C0270853,"Myoclonic Epilepsy, Juvenile",0.1,0.022222222,-0.000357443,3.047619048,0.6380879
C0006142,Malignant neoplasm of breast,0.267605634,0.020925553,-0.010556172,3.020953547,0.9234824
C1458155,Mammary Neoplasms,0.789838337,0.021587118,-0.105433952,3.479589375,0.950248
C0270850,Idiopathic generalized epilepsy,0.090909091,0.036363636,-0.000407683,2.866666667,0.9815339
C0027796,Neuralgia,0.090909091,0.090909091,-0.006856043,2.688888889,0.9986986
C0027794,Neural Tube Defects,0.111111111,0.042735043,-0.001997443,3.214285714,0.2512543
C0162820,"Dermatitis, Allergic Contact",0.075757576,0.016783217,-0.006480067,3.006422306,0.004994484
C0025521,Inborn Errors of Metabolism,0.125,0.075,-0.001529071,3.076923077,0.07070452
C0344388,Platelet mean volume finding,0.057142857,0.016806723,-0.002875658,2.921652422,0.9766709
C0021841,Intestinal Neoplasms,0.636363636,0.236363636,-0.005959489,2.271428571,0.06477228
C2607914,Allergic rhinitis (disorder),0.0625,0.008333333,-0.00064713,3.236363636,0.6073401
C1271104,Blood pressure finding,0.032258065,0.010047594,-0.004017499,2.865469858,0.3899129
C0242383,Age related macular degeneration,0.119047619,0.030197445,-0.004342613,3.093077601,0.917594
C0007193,"Cardiomyopathy, Dilated",0.14893617,0.040703053,-0.013290574,2.731937603,0.2394293
C3160731,Pulmonary function (finding),0.048780488,0.014634146,-0.002638113,3.043103448,0.9959732
C0080178,Spina Bifida,0.181818182,0.127272727,-0.001757204,2.466666667,0.3817052
