UniProt ID(supplied by UniProt)	NCBI Gene ID(supplied by NCBI)
Q6UXT9	116236
	104355133
O95870	7920
Q9H3Z7	140701
Q96GS6	81926
	728917
	648359
	729495
	91219
	644988
	100133212
	647144
	100132251
Q5VST6	51104
Q6PCB6	58489
Q0P651	80167
Q8IZP0	10006
	326268
Q9NYB9	10152
Q9P2A4	51225
Q7Z7G0	25890
Q9NX38	54942
	390403
P00519	25
P42684	27
O14639	3983
Q6H8Q1	84448
O94929	22885
P16442	28
Q12979	29
Q8N0Z2	137735
Q9P1F3	58527
Q6UWZ7	84142
Q15018	23172
Q9ULW3	29777
	100420695
Q969K4	80325
Q8N961	25841
P09110	30
P42765	10449
Q13085	31
O00763	32
Q9UKU7	27034
Q9H845	28976
Q6JQN1	80724
Q709F0	84129
P28330	33
P11310	34
P16219	35
P45954	36
P49748	37
P16112	176
Q15027	9744
Q15057	23527
	100874306
Q96P50	116983
P24752	38
Q9BWD1	39
Q9H3P7	64746
	107985353
Q8NC06	79777
Q5T8D3	91452
Q9BR61	84320
Q8N6N7	414149
Q96QU6	84680
Q4AC99	390110
Q96AP0	65057
P12821	1636
Q9BYF1	59272
	100129123
Q8TDN7	125981
Q5QJU3	340485
	645978
Q9NUN7	55331
P22303	43
Q9UKV3	22985
Q16570	2532
O00590	1238
P25106	57007
Q9NPB9	51554
	285737
P53396	47
Q8TDX5	130013
	347275
P21399	48
Q99798	50
A6NK06	730249
Q86TX2	641371
P49753	10965
Q8N9L9	122970
Q3I5F7	641372
O00154	11332
O14734	10005
Q9Y305	23597
Q8WXI4	26027
Q8WYK0	134526
Q9NPJ3	55856
Q15067	51
Q99424	8309
O15254	8310
Q9NUZ1	55289
	400997
P24666	52
P11117	53
P15309	55
Q9BZG2	93650
P13686	54
Q9NPH0	51205
Q6ZNF0	390928
P10323	49
Q8NEB7	84519
P26436	56
Q96GR2	23205
Q5FVE4	81616
Q96CM8	80221
Q4G176	197322
P33121	2180
O95573	2181
	105373904
O60488	2182
Q9ULC5	51703
Q9UKU0	23305
	101927693
Q08AH1	116285
Q08AH3	123876
Q68CK6	348158
Q53FZ2	6296
P0C7M7	341392
Q6NUN0	54988
	100421779
Q6P461	142827
Q9NUB1	84532
Q9NR19	55902
Q9H6R3	79611
P68133	58
P62736	59
	100132116
P60709	60
Q562R1	345651
	643309
	62
	63
	64
	66
	67
	68
	69
	446207
	644220
	100462767
	389120
	389976
P68032	70
P63261	71
	73
	74
	75
	648740
	78
	79
	80
	82
	83
	414754
	100418921
	100418920
	100418910
	100418951
	100418960
	283693
	100418924
	644160
	644961
	100131291
	100131953
	442097
	441783
P63267	72
O96019	86
O94805	51412
Q9Y615	10881
Q9Y614	10880
Q9H568	81569
Q8TC94	284382
Q5JWF8	170487
P12814	87
	161159
P35609	88
Q08043	89
O43707	81
	344978
	391026
	106480335
P61163	10121
P42025	10120
P61160	10097
P61158	10096
	101060091
Q9P1U1	57180
	643050
	440888
	647156
	777774
	399746
	644773
Q9C0K3	653857
	100288580
	100129013
	100128020
Q9H9F9	79913
Q9GZN1	64431
	100421495
Q9H981	93973
Q9NZ32	55860
Q8TDG2	139741
Q8TDY3	140625
Q9BYD9	84517
Q04771	90
P36896	91
Q8NER5	130399
P27037	92
Q13705	93
	100128640
P37023	94
Q03154	95
Q96HD9	91703
P07311	97
P14621	98
P00813	100
Q9NZK5	51816
Q96M93	132612
	100422386
	100422407
Q8NCV1	161931
Q6DHV7	161823
	8759
	100420505
Q99965	2515
	1587
	1596
Q6NVV9	255926
	8755
Q9H2U9	8756
P78325	101
Q13443	8754
O14672	102
O75078	4185
O43184	8038
Q13444	8751
P78536	6868
Q9Y3Q7	8749
Q9H013	8728
O43506	8748
	317760
	100533671
	644325
Q9UKJ8	8747
	145241
Q9P0K1	53616
O75077	8745
	646479
Q9UKQ2	10863
Q9UKF5	11086
Q9UKF2	11085
Q8TC27	203102
Q9BZ11	80332
O15204	27299
Q9UHI8	9510
O95450	9509
O15072	9508
O75173	9507
Q9UNA0	11096
Q9UKP5	11174
Q9UKP4	11173
	390660
	400406
	642935
Q9UP79	11095
Q9P2N4	56999
	101929335
	100507098
Q9H324	81794
P58397	81792
Q76LX8	11093
Q8WXS8	140766
Q8TE58	170689
Q8TE57	170690
Q8TE56	170691
Q8TE60	170692
Q8TE59	171019
	103689846
P59510	80070
Q8N6G6	92949
Q86TH1	9719
P82987	57188
Q6UY14	54507
Q5T5F5	574406
	100289061
Q6ZMM2	339366
O75689	11033
Q9NPF8	55803
P55265	103
P78563	104
Q9NS39	105
A8MUL3	642394
Q9BUB4	23536
Q7Z6V5	134637
Q96EY9	113179
Q86TW2	57143
Q7Z695	90956
Q3MIX3	203054
	106
Q08828	107
Q08462	108
O60266	109
Q8NFM4	196883
O95622	111
O43306	112
	100506125
P51828	113
P40145	114
O60503	115
Q96PN6	55811
	221442
P18509	116
P41586	117
P35611	118
P35612	119
Q9UEY8	120
	100505933
Q8N7X0	79747
Q86SQ6	84435
	100128127
Q96PE1	25960
Q8IWK6	166647
O14514	575
O60241	576
O60242	577
Q6QNK2	283383
	105755954
Q7Z7M1	347088
Q14246	2015
Q9UHX3	30817
Q9BY15	84658
Q86SQ3	326342
P48960	976
Q5T601	266977
Q8IZF7	222611
Q8IZF5	165082
Q8IZF3	221393
Q8IZF2	221395
	101926962
	389740
	441416
Q9Y653	9289
Q8IZP9	10149
Q86Y34	222487
Q8IZF6	139378
Q8IZF4	221188
Q86SQ4	57211
Q96K78	84873
O94910	22859
O95490	23266
Q9HAR2	23284
	101927186
Q9HBW9	64123
Q8WXG9	84059
P07327	124
P00325	125
P00326	126
P08319	127
P11766	128
	343296
	100131810
	642443
	115945146
P28332	130
P40394	131
Q8IWW8	137872
Q9BV57	55256
	100130936
	100288971
	100288129
Q0VDE8	149685
Q15848	9370
	100874095
Q96A54	51094
	645220
	390503
Q86V24	79602
Q15847	10974
	100133190
P55263	132
P35318	133
Q7Z4H4	79924
C9JUS6	199800
Q9H2P0	23394
	101927631
Q6IQ32	22850
Q96SZ5	84890
P30542	134
P29274	135
P86434	646023
P29275	136
	137
P0DMS8	140
Q9BRR6	83440
	100287559
P54922	141
Q8NDY3	113622
Q3LIE5	56985
Q9NX46	54936
P35348	148
P35368	147
P25100	146
P08913	150
P18089	151
P18825	152
P08588	153
P07550	154
P13945	155
Q16186	11047
P30566	158
Q8N142	122622
P30520	159
Q96IZ2	84830
Q8IUX7	165
Q6ZN18	121536
Q8WTP8	64782
Q8N556	60312
	84740
Q8TED9	134265
Q8N4X5	84632
P55196	4301
Q9Y6Z5	653483
P51825	4299
	100506746
P51816	2334
	100874269
P51826	3899
Q9UHB7	27125
Q8WV93	246269
	172
Q9Y4W6	10939
	347028
P43652	173
Q63HM1	125061
P02771	174
Q6ULP2	54812
P20933	175
Q9UPQ3	116987
	100506749
Q99490	116986
	100130776
Q96P47	116988
Q96P64	119016
A6NIR3	729092
Q5VW22	414189
Q5VUJ5	653268
Q5VTM2	642517
	653234
Q8TF27	119385
	414224
	728005
	653259
Q96MI9	123624
	727915
Q5U5Z8	79841
Q8NEM8	340351
Q5VU57	84871
	101929721
	100874313
Q8NDL9	60509
	100874031
	106481744
Q15109	177
P52594	3267
O95081	3268
Q8N302	55109
	100132380
	644435
	391552
	100129351
	100128103
	106481737
	100132606
	100128804
	100127958
	100288774
Q53H12	55750
	359793
P35573	178
Q9BSE5	79814
Q6ZNB7	392636
Q9UL18	26523
Q9UKV8	27161
Q9H9G7	192669
Q9HCK5	192670
Q99943	10554
O15120	10555
Q9NRZ7	56894
Q9NRZ5	56895
Q9H0P7	79992
Q9NUQ2	55326
	646231
O00116	8540
O95994	10551
Q8TD06	155465
O00468	375790
O00253	181
P01019	183
Q9UPW5	23287
P30556	185
P50052	186
Q6RW13	57085
P21549	189
Q9BYV1	64902
Q8WYP5	25909
	285116
P23526	191
O43865	10768
Q96HN2	23382
	340844
	392387
	402093
	129560
	391470
	100419714
	645486
	107063538
Q5TGY3	27245
Q8N157	54806
Q09666	79026
Q8IVF2	113146
P35869	196
A9YTQ3	57491
O95433	10598
Q719I0	130872
P02765	197
Q9NZD4	51327
Q9GZX7	57379
Q96BJ3	64853
	646050
	646890
	100128360
P55008	199
Q9BQI0	83543
O95831	9131
	645120
Q9BRQ8	84883
Q96NN9	150209
Q9NVV5	51390
	106479028
O14862	9447
Q12904	9255
	170547
	100873064
Q13155	7965
O00170	9049
Q9NZN9	23746
O43918	326
	100271873
Q9UKB5	55966
C9J069	389813
Q96IF1	84962
P00568	203
P54819	204
	266920
	339736
Q9UIJ7	50808
	100419074
	100419075
	100129959
	100288319
	100873789
P27144	205
	206
	100132104
	645619
	100128705
	100526416
	649288
Q9Y6K8	26289
Q9Y3D8	102157402
	100132086
	100128817
Q96M32	122481
Q96MA6	158067
Q5TCS8	221264
P0CW23	642597
Q92667	8165
Q9Y2D5	
O75969	10566
Q5JQC9	8852
P24588	9495
Q13023	9472
O43687, Q9P0M2	9465
O43823	10270
Q9ULX6	26993
	646114
Q99996	10142
O43572	11216
Q9UKA4	11215
Q02952	9590
Q12802	11214
Q86UN6	158798
Q02040	8227
	139516
Q9NQ31	56672
Q9H9L7	79647
	100418731
	106480306
Q53H80	55122
	100216487
Q7Z591	80709
Q5T1N1	254268
P14550	10327
P15121	231
	401982
	236
	729347
	390402
	390482
	100129769
	126242
	392525
O60218	57016
	340888
	643582
C9JRZ8	441282
Q04828	1645
P52895	1646
P42330	8644
P17516	1109
	100996684
	389932
	648947
Q5T2L2	340811
P51857	6718
	80701
Q96JD6	83592
O43488	8574
	246182
O95154	22977
Q8NHP1	246181
P31749	207
Q96B36	84335
P31751	208
Q9Y243	10000
	100874263
Q9H8T0	64400
P13716	210
P13196	211
P22557	212
P02768	213
Q13740	214
P00352	216
O94788	8854
P47895	220
P30837	219
O75891	10840
	100874204
	100862662
Q3SY69	160428
P05091	217
P30838	218
P51648	224
P43353	221
P48448	222
P30038	8659
P51649	7915
Q02252	4329
P49419	501
	541
	542
	543
	544
Q9H2A2	64577
P49189	223
Q8IZ83	126133
P54886	5832
P04075	226
	391538
	228
P05062	229
P09972	230
Q9BT22	56052
Q6GMV1	200810
C9J202	644974
	100132066
	647415
	339879
	728263
	645015
	285407
	106479037
	106480789
	100421097
	106479038
	100996649
	730086
Q9H553	85365
Q92685	10195
	442131
Q9Y673	29880
Q9Y672	29929
Q9BVK2	79053
Q9H6U8	79796
	100874303
Q5BKT4	84920
Q5I7T1	144245
Q2TAA5	440138
Q9BV10	79087
Q9NP73	79868
	106478971
Q96F25	199857
	101928098
Q9UM73	238
Q6UXT8	389658
Q6UX46	285016
Q13686	8846
Q6NS38	121642
Q96Q83	221120
	100507300
Q9NXW9	54784
Q6P6C2	54890
Q3KRA9	84964
Q9BT30	84266
Q96BT7	91801
Q8N6M5	55821
Q8TCU4	7840
	100874291
	200420
P09917	240
P20292	241
P18054	239
	100506713
O75342	242
	243
	245
P16050	246
O15296	247
	100652883
	642959
Q9BYJ1	59344
	100420216
P10696	251
P09923	248
Q96QP1	80216
Q86TB3	115701
Q96L96	57538
P05186	249
P05187	250
	260330
Q96Q42	57679
Q60I27	259173
Q15699	8092
O95076	257
Q9H161	60529
Q86V81	10189
Q9UHK6	23600
Q9NP70	258
P02760	259
Q9C0C7	55626
P17707	262
	100133024
	263
	728931
	100129761
Q96NU7	144193
Q9Y303	51005
Q99217	265
Q99218	266
Q5JTC6	139285
Q8N7J2	219287
Q8N944	205147
Q9UKV5	267
P03971	268
Q16671	269
Q86WK6	57463
Q86SJ2	347902
Q86WK7	386724
	9163
Q9Y4X0	9949
	100874352
Q6DCA0	83607
	100420921
Q9BXJ7	81693
Q8IY45	196394
Q4VCS5	154796
Q8IY63	154810
Q9Y2J4	51421
P23109	270
Q01433	271
Q01432	272
P49418	273
P48728	275
Q6UX39	401138
P04745	276
P04745	277
P04745	278
P04746	279
P19961	280
	281
Q400G9	155185
Q86W34	51321
	201283
	100421018
Q9H1A4	64682
	100286979
Q9UJX6	29882
Q9UJX5	29945
Q9UJX4	51433
Q9UJX3	51434
Q9UM13	10393
	729198
Q9NYG5	51529
Q9BS18	25847
P60006	25906
Q96DE5	119504
	282
P03950	283
Q9UNK9	23357
Q5VTE6	90806
Q15389	284
O15123	285
Q9Y264	51378
O95841	9068
Q9UKU9	23452
Q9Y5C1	27329
Q9BY76	51129
Q86XS5	253935
Q8NI99	83854
O43827	10218
Q6UXH0	55908
E9PGG2	647589
P16157	286
Q01484	287
	105377373
Q12955	288
	105378320
Q7Z5J8	150709
Q495B1	348094
A6NHY2	728780
Q9NU02	63926
Q8N957	162282
Q9P2R3	51479
Q9HCJ1	56172
Q8IWZ3	54882
	404734
Q9P2G1	54467
Q8NFD2	255239
Q8NAG6	126549
Q86XL3	23141
Q9P2S6	51281
Q8IV38	57037
Q9H9E1	57763
Q15327	27063
Q9GZV1	26287
Q9Y2G4	22881
Q92527	56311
Q96BM1	122416
Q9NXR5	55608
	100505494
Q6UB99	29123
Q6UB98	23253
Q8IZ07	88455
Q86YJ7	124930
Q8N6S4	81573
Q6ZTN6	338692
Q6P6B7	54522
O75179	26057
Q8IVF6	253650
A2A2Z9	441459
	101926917
	348840
	100131031
Q9H560	138649
Q5TYW2	84210
Q5SQ80	441430
Q5VUR7	441425
Q4UJ75	728747
A0PJZ0	440482
	728157
	653436
Q5CZ79	729171
	284232
	100421422
	391267
Q8NF67	100874392
	100132733
	100533719
	100533720
	100421427
	100421363
	391269
	400110
	728788
	102723552
Q5VYY1	118932
Q86SG2	200539
Q8TF21	170961
Q9UPS8	22852
Q6NSI1	124149
	646929
	100101938
	100873882
Q96NW4	84079
O15084	23243
Q8N6D5	147463
Q9BXX3	91074
Q9BXX2	374860
A7E2S9	554226
	642460
	149992
	338579
Q8N7Z5	256006
Q7Z3H0	341405
A6NCL7	651746
	100874247
Q69YU3	284615
A5PLL1	340120
P0C6C1	390616
	729911
Q8N283	148741
A6QL64	375248
Q8N2N9	57730
Q96IX9	84832
	645784
Q5JPF3	400986
	100132420
Q7Z713	353322
Q53RE8	51239
Q6AI12	91369
Q53H64	55018
Q8N9B4	338699
Q8N8A2	91526
	101927596
	101927547
Q5TZF3	339416
Q86W74	157567
Q8WVL7	54851
	100419814
	391834
	100130680
Q9ULJ7	57182
Q8NB46	283373
Q8N9V6	79998
Q6NXT1	129138
	100419962
Q3KP44	79722
Q9BZ19	140731
A6NGH8	100310846
A6NC57	342850
	107080639
	23783
C9JTQ0	100131244
E5RJM6	441869
B4E2M5	100287718
Q92625	23294
Q7Z6G8	56899
Q6ZW76	124401
Q8N8V4	257629
Q68DC2	203286
A6NFN9	389161
Q9H8Y5	55139
Q9NQW6	54443
Q5XXA6	55107
	100873981
Q9NQ90	57101
Q9BYT9	63982
	105376599
Q32M45	121601
Q75V66	203859
Q4KMQ2	196527
Q6IWH7	50636
	101927546
Q9HCE9	57719
A1A5B4	338440
Q9NW15	55129
P23352	3730
	3734
P39687	8125
	80035
	723972
Q92688	10541
	646791
	100130708
	100652899
O43423	23520
O95626	23519
Q9BTT0	81611
P15144	290
Q9BQD7	65990
Q9H6X2	84168
P58335	118429
A6NF34	195977
	100996567
P04083	301
P07355	302
	303
A6NMY6	304
	305
Q3ZCQ2	389289
P12429	306
P09525	307
P08758	308
P08133	309
P20073	310
P13928	653145
Q5VT79	728113
O76027	8416
Q9UJ72	11199
P50995	311
P27216	312
P28039	313
	100874264
P19801	26
O75106	314
Q16853	8639
	90586
Q8N6M6	84909
Q06278	316
	344454
	107126360
	107161151
Q63HQ0	55435
Q10567	162
	23782
	23781
O43747	164
O75843	8906
Q9BXS5	8907
Q9Y6Q5	10053
P61966	1174
P56377	8905
	106480305
Q96PC3	130340
O95782	160
O94973	161
P63010	163
Q96CW1	1173
P53680	1175
O00203	8546
Q13367	8120
O14617	8943
Q9Y2T2	26985
P53677	10947
Q92572	1176
P59780	10239
Q9Y6B7	10717
	100287722
Q9UPM8	23431
O00189	9179
Q9Y587	11154
Q2VPB7	91056
Q9H0R1	55745
Q9NUS5	55317
O43299	9907
O14727	317
Q02410	320
Q99767	321
O96018	9546
O00213	322
Q7Z5R6	54518
Q92870	323
O95704	10307
P25054	324
O95996	10297
Q8J025	147495
Q8NCL9	164284
	149773
P02743	325
P13798	327
P0DMC3	100506013
P27695	328
Q9UBZ4	27301
Q96BI3	51107
Q8WW43	83464
Q9BZZ5	8539
	642812
	728664
Q96GX9	51074
Q8IW19	200558
Q9ULZ1	8862
P35414	187
P51693	333
Q06481	334
Q9HDC9	57136
P02647	335
	104326055
P02652	336
P06727	337
Q6Q788	116519
P04114	338
P41238	339
Q9Y235	10930
P31941	200315
	100913187
	105377532
Q9UH17	9582
	100874530
Q9NRW3	27350
Q96AK3	140564
Q8IUX4	200316
Q9HC16	60489
Q6NTF7	164668
Q8WW27	403314
Q0VD83	55911
P02654	341
	342
P02655	344
P02656	345
P55056	346
	100533990
P05090	347
P02649	348
Q13790	319
P02749	350
O14791	8542
Q9BQE5	23780
O95236	80833
Q9BPW4	80832
Q9BWW9	80831
Q9BWW8	80830
Q96LR9	81575
O95445	55937
	100419033
Q9BUR5	79135
Q6UXV4	139322
	100286948
	100129005
	100131528
	100128725
	644649
P05067	351
Q92624	10513
Q9UKG1	26060
Q8NEU8	55198
P07741	353
	100505854
Q7Z2E3	54840
P29972	358
P41181	359
Q92482	360
P55087	361
	147429
P55064	362
Q13520	363
O14520	364
	375719
	389756
A6NL99	441432
	100132938
	102724655
O94778	343
O43315	366
Q96PS8	89872
Q8NBQ7	282679
Q8IXF9	375318
A6NM10	653437
O60306	9716
P10275	367
P10398	369
	100421741
	644000
	285893
Q96P48	116985
	100874075
	100506020
Q8WZ64	116984
Q8WWN8	64411
Q7LC44	23237
P48444	372
P15514	374
O15033	9870
P84077	375
	442334
	100420012
	442396
	108489980
P61204	377
P18085	378
	106144532
	380
	170485
	390423
	100129023
	100316867
P84085	381
P62330	382
Q8N6T3	55738
Q8N6H7	84364
Q9NP61	26286
Q9Y6D6	10565
Q9Y6D5	10564
Q5TH69	57221
P53367	27236
P53365	23647
Q13795	10139
P05089	383
P78540	384
A6NJG6	503582
	503583
	503640
Q9NWB6	55082
Q07960	392
P98171	393
Q13017	394
Q96IT6	84837
O43182	395
P85298	23779
Q9BRR9	64333
A1A4S6	79658
Q6P4F7	9824
Q3KRB8	89839
Q8IWW6	94134
Q53QZ3	55843
	105373654
	319102
Q68EM7	55114
Q8N392	93663
Q14CB8	84986
	100533184
Q9P2F6	57569
Q5T5U3	57584
Q7Z5H3	58504
	100689073
Q9P227	57636
	102577425
Q8N264	83478
P42331	9938
Q9UNA1	23092
	100874239
	100874372
Q6ZUM4	201176
	146880
	109286553
	440461
Q9P2N2	79822
Q52LW3	9411
	107985092
Q7Z6I6	257106
Q2M1Z3	57514
	100874246
A7KAX9	9743
O14559	115703
Q9NRY4	2909
Q6ZRI8	158763
Q9C0H5	80728
Q5TG30	343578
A6NI28	143872
	100887075
	100130693
	266698
	254398
	100128514
Q17R89	9912
Q92619	23526
P52565	396
P52566	397
Q99819	398
Q92888	9138
Q92974	9181
	107985210
Q9NR81	50650
	100874200
Q9NR80	50649
Q12774	7984
Q15052	9459
Q14155	8874
	100874226
	100874238
	100874371
O43307	23229
	100874355
O15013	9639
Q9HCE6	55160
O15085	9826
Q9NZN5	23365
O94989	22899
Q5VV41	27237
Q96PE2	9828
Q6ZSZ5	23370
Q8IW93	128272
	100874233
Q86VW2	115557
Q96DR7	26084
	100507524
Q8N1W1	64283
A8MVX0	100271715
	728377
A5YM69	445328
	101928605
A1IGU5	389337
Q9NXL2	54848
	100874374
Q8N4T4	84904
Q8TER5	55701
O14497	8289
Q8NFD5	57492
Q68CP9	196528
Q99856	1820
Q8IVW6	10620
	646555
A6NKF2	138715
P29374	5926
Q4LE39	51742
Q03989	10865
Q14865	84159
Q9Y4X5	25820
O95376	10425
Q8N7S6	646450
	390844
P40616	400
P36404	402
	100528018
Q9Y2Y0	23568
	399666
	643898
	646879
	100130265
	100874420
	100874421
	100131629
	100131784
	100421675
	100874449
P36405	403
P40617	10124
	387684
	152709
	107984161
	100420471
	101928788
P56559	10123
P49703	379
Q9Y689	26225
	641382
	641380
	106480778
	641379
Q96KC2	221079
A6NH57	390790
Q9H0F7	84100
Q15041	23204
	100288702
	646348
	729790
Q66PJ3	51329
O75915	10550
Q8N6S5	151188
Q96BM9	127829
Q9NVJ2	55207
Q6T311	132946
Q8N8L6	285598
Q969Q4	115761
Q5H913	392509
Q3SXY8	200894
Q8N4G2	80117
Q8N8R7	120534
P0DKL9	644100
	107985793
Q9NXU5	54622
Q0P5N6	339231
Q8IVW1	51326
Q8IVW1	100506084
	100996425
Q9NVT9	55156
Q8NEN0	84071
	101929716
Q5W041	219681
Q5T2S8	55130
	101060171
Q96C12	79798
Q6NXE6	93436
Q9H6L4	79637
Q8IUR7	25852
	100130871
Q7Z3E5	80210
Q8N2F6	83787
	389137
Q5T9G4	221481
Q9P291	51309
Q7L311	9823
Q9UH62	51566
	100128574
Q5H9R4	100131755
Q6P1M9	64860
	100528062
Q7L4S7	54470
	653354
Q6PIY5	339541
H3BNL8	101928603
Q5T2E6	79591
Q86TY3	145407
P0C7Q2	387715
Q9H993	79624
P27540	405
Q9HBZ2	9915
O00327	406
Q8WYA1	56938
	101928646
Q92747	10552
O15143	10095
	100288663
O15144	10109
O15145	10094
	87171
	391160
	729494
	100421973
	441131
P59998	10093
	100526693
O15511	10092
Q9BPX5	81873
Q7Z6K5	348110
	100526783
P56211	10776
	646227
	643896
Q9UBL0	10777
	100874098
P36575	407
P49407	408
P32121	409
Q8N5I2	92714
Q9H2J1	85026
Q8TBH0	27106
Q96B67	57561
	100129716
Q8NCT1	91947
A6NEK1	645432
P15289	410
P15848	411
	413
P51689	414
	100506356
	10034
P54793	416
	23757
Q96EG1	22901
Q5FYA8	347527
Q5FYB1	340075
Q5FYB0	79642
Q6UWY0	153642
P51690	415
	10033
P52961	417
	106481723
	418
Q13508	419
Q93070	420
Q96L15	116969
Q5T4W7	9048
Q9H2C2	64801
O00192	421
Q96QS3	170302
Q9HBK9	57412
Q13510	427
Q9NR71	56624
P0C7U1	653308
Q9ULH1	50807
	29065
	100507117
O43150	8853
Q8TDY4	55616
Q9Y576	51665
Q96Q27	51676
Q9Y575	51130
Q9Y574	51666
Q8WWX0	140458
Q9NWX5	140459
Q9H672	140460
Q9H765	140461
Q96DX5	140462
	728619
Q8WXI3	136371
Q8WXH4	140456
Q8WXK4	142689
Q8WXK3	79754
A6NK59	142686
Q8WXK1	142685
	102724555
Q96NS5	92591
Q495Z4	339201
Q8WXJ9	127247
Q6ZVZ8	401036
Q8N9N2	51008
Q9H1I8	84164
Q8N3C0	10973
P50553	429
Q99929	430
Q9NQ33	56676
Q6XD76	121549
Q7RTU5	647219
L0R819	110599588
Q9Y294	25842
Q9NVP2	55723
P07306	432
P07307	433
Q9NR48	55870
	645676
	106478976
Q9UBL3	9070
	266703
	100422088
	100736411
P78348	41
Q16515	40
Q9UHC3	9311
Q96FT7	55515
	105373885
Q9NY37	51802
P42127	434
P04424	435
	436
P46597	438
O95671	8623
	80161
P08243	440
Q9NWL6	54529
	389652
	442
	100423061
	100419423
	100873794
	100423060
P45381	443
A6ND91	554235
Q86U10	374569
Q12797	444
Q5U4P2	253982
Q6ICH7	57168
Q8IZT6	259266
Q9BXN1	54829
Q53RT3	151516
Q9BZE9	79058
Q7L266	80150
P00966	445
	442167
	447
	158452
	449
	450
	451
	339845
	453
	454
	455
	340274
	392302
	341230
	459
Q2TB18	28990
Q6HA08	431705
O14525	460
O75129	23245
	100128505
Q8IXJ9	171023
Q76L83	55252
Q9C0F0	80816
Q8WWH4	136991
Q8NBU5	84896
Q6PL18	29028
Q9ULI0	54454
Q9NVI7	55210
Q5T9A4	83858
Q5T2N8	219293
Q96QE3	79915
Q5SQI0	79969
Q86WG3	85300
O95260	11101
	100130887
P18846	466
	100128159
P15336	1386
P18847	467
P18848	468
	469
	340600
	643159
	100127952
Q9Y2D1	22809
P18850	22926
Q99941	1388
P17544	11016
Q6VMQ6	55729
Q5U623	80063
Q2TAZ0	23130
Q96BY7	55102
Q9NT62	64422
	100135756
Q8WYN0	115201
	106480786
Q9Y4P1	23192
Q96DT6	84938
Q86TL0	84971
Q9H1Y0	9474
O95352	10533
Q7Z3C6	79065
Q674R7	285973
Q9H0Y0	83734
	100874022
	100874311
O94817	9140
	100151642
	100293948
O75143	9776
Q6ZNE5	22863
Q676U5	55054
Q8NAA4	89849
Q9BSB4	60673
P31939	471
Q8WXF7	51062
Q8NHH9	64225
Q6DD88	25923
Q13315	472
O43313	23300
P54259	1822
Q92858	474
Q8N100	220202
Q96SQ7	84913
O00244	475
P05023	476
Q5TC04	84852
P50993	477
P13637	478
Q13733	480
P05026	481
	485
P14415	482
P54709	483
	100874077
	484
Q9UN42	23439
O14983	487
	100289092
P16615	488
Q93084	489
P20020	490
	338758
Q01814	491
	100874324
	100874325
Q16720	492
P23634	493
P98194	27032
O75185	9914
	105371374
P20648	495
P51164	496
P25705	498
	442416
	504
	645443
	100129782
	442415
	392322
	100132619
P06576	506
	507
P36542	509
	645560
P30049	513
P56381	514
	23744
Q5VTU8	432369
Q9UII2	93974
P05496	516
	319136
	319137
	646619
	100287755
	390424
	100505704
	100130962
	100288222
Q06055	517
	520
	319119
	100507097
	654480
P48201	518
Q96IX5	84833
	100288307
P56385	521
P56134	9551
	100526740
	101241877
	387107
	445573
	654485
	654484
	654486
O75964	10632
Q7Z4Y8	267020
	53411
	53410
	53409
	100130396
	100287091
	100462865
	100287964
	100462862
P56378	9556
P24539	515
	100422523
	645973
	644333
